epoch,train_loss,val_loss,val_miou,val_macc
0,1.9294474997171542,1.8209941267967225,0.12096858468583657,0.2056068469695383
1,1.7383519905369456,1.5329927206039429,0.21321014442719285,0.2814280733700079
2,1.4297433975266247,1.1624612927436828,0.21897516836272632,0.29834162081614685
3,1.1842281091503981,0.9412680327892303,0.23967419788385208,0.3287576813516005
4,1.054561552478046,0.8162207961082458,0.2734254253781832,0.3722480993159382
5,0.9495828994890538,0.7445392310619354,0.30578531928516606,0.40285841451632226
6,0.8585503290339214,0.6621764302253723,0.36118085467871036,0.4475616317604481
7,0.7645738822657887,0.6004408597946167,0.42519258680886185,0.5151825962114319
8,0.7142246074792815,0.5698617815971374,0.44112381103631254,0.5264270086321033
9,0.6677483632797148,0.5391063302755356,0.4722254782620909,0.5798582612631556
10,0.6655205604506702,0.5136026203632355,0.4764612932722077,0.5727226182968758
11,0.630058789398612,0.4914068698883057,0.47922456204405783,0.5783024322612638
12,0.6322508381634224,0.48620566427707673,0.47956459798366635,0.5740887979653947
13,0.5993280323540292,0.47581332325935366,0.4906834819789112,0.5941910324568046
14,0.5628164388784548,0.45308373868465424,0.49947504769107304,0.5929538000387635
15,0.5761677266621008,0.4535775601863861,0.5050909301694803,0.5980440614504108
16,0.5602988455353713,0.44386272728443144,0.5081055485177559,0.6056489874981487
17,0.5754575802058708,0.43519247472286227,0.5186026444428113,0.6208125719679966
18,0.5325666760526052,0.4381622463464737,0.5234115829495557,0.6240462144316027
19,0.5425095231067844,0.42482087314128875,0.5328120490915155,0.637036586122476
20,0.5011886314647954,0.4347619146108627,0.5198199862966568,0.6298582217785578
21,0.5764779739263581,0.4179369479417801,0.5239101712488534,0.6219865394485626
22,0.49885995504332753,0.41650418043136594,0.5302211083790347,0.6333205701712209
23,0.48276191513712813,0.40560005605220795,0.5331784973079119,0.6266508458070466
24,0.5397481438590259,0.40813039243221283,0.5339339229245834,0.6392082795408341
25,0.530994243011242,0.3996465504169464,0.5388481121973812,0.6354881659321838
26,0.4478373811012361,0.4033439964056015,0.5369938148138891,0.6314320275427256
27,0.446743691112937,0.398184210062027,0.5405881848736812,0.6391557881356118
28,0.5206142562191661,0.40272368788719176,0.5371031590767056,0.6370562409027964
29,0.48974294996843104,0.3970582753419876,0.5403765877700469,0.6355696490985911
30,0.4747746361464989,0.4062898546457291,0.5382333400844472,0.6396276833163631
31,0.4486461659757102,0.3943319857120514,0.5394327087656794,0.6355185096410121
32,0.4253893552756891,0.3923259198665619,0.5449588650178397,0.645760267243406
33,0.449656300428437,0.38953799903392794,0.5494116490523479,0.6445572994285591
34,0.4512681692111783,0.3902870625257492,0.5448971751805594,0.6450139557920715
35,0.46784696200998815,0.3907819986343384,0.5429061120166249,0.6345832779700217
36,0.46571129124339034,0.39234701097011565,0.55153580226028,0.6572902743416279
37,0.4466520693244004,0.3869755744934082,0.5500305645120693,0.6448655638704333
38,0.4273616511647294,0.39143083095550535,0.5428050003445507,0.6430752678389924
39,0.4526295967218352,0.393604451417923,0.5463422147093252,0.6538948791418319
40,0.4333126712136152,0.38907202482223513,0.5497309600895427,0.6567989091230368
41,0.4289962278633583,0.3817716658115387,0.5463773632977221,0.6423598532825338
42,0.4279042373343212,0.38174364268779754,0.5475612259413353,0.6472539745158858
43,0.42673308602193505,0.3784816712141037,0.554457052614844,0.6492526352528507
44,0.41668924798325796,0.3745968103408813,0.5600659561506196,0.6593803641594367
45,0.46046667418828824,0.37641469240188596,0.5566263817107284,0.654096314059258
46,0.47095548815843535,0.37331045866012574,0.5584757348016153,0.6578984750486153
47,0.4328951893783197,0.3729585140943527,0.551695739084999,0.6434286788953297
48,0.45281028311427046,0.37539197206497193,0.5519657538256301,0.6483004777057279
49,0.4236868300089022,0.3745762944221497,0.5555065070123474,0.6554493664639265
50,0.4127421110141568,0.3746387273073196,0.5562183534582479,0.6490086079015916
51,0.4123389502850974,0.37053678631782533,0.5597044306971185,0.6584668815729147
